Contract Symbol,Strike,Expiration Date,Simulated Price (LV),Simulated Price (BS)
NVDA250207C00075000,75.0,2025-06-20,48.67179022827626,42.69082
NVDA250207C00103000,103.0,2025-06-20,20.68930019015262,14.702324
NVDA250207C00112000,112.0,2025-06-20,11.69794437307262,5.9858704
NVDA250207C00118000,118.0,2025-06-20,5.731064282758327,2.2950668
NVDA250207C00125000,125.0,2025-06-20,0.4037806029252889,0.5423908
NVDA250207C00136000,136.0,2025-06-20,0.0,0.043160796
NVDA250207C00137000,137.0,2025-06-20,0.0,0.033841968
NVDA250207C00140000,140.0,2025-06-20,0.0,0.02177757
NVDA250207C00145000,145.0,2025-06-20,0.0,0.010174334
NVDA250207C00148000,148.0,2025-06-20,0.0,0.006527543
NVDA250207C00157500,157.5,2025-06-20,0.0,0.0024127439
NVDA250207C00160000,160.0,2025-06-20,0.0,0.0023362115
NVDA250207C00177500,177.5,2025-06-20,0.0,0.00057834387
NVDA250207C00190000,190.0,2025-06-20,0.0,0.000114082824
NVDA250207C00200000,200.0,2025-06-20,0.0,0.000105403364
NVDA250207C00220000,220.0,2025-06-20,0.0,5.5406126e-05
NVDA250207C00225000,225.0,2025-06-20,0.0,6.1041676e-05
NVDA250207C00235000,235.0,2025-06-20,0.0,7.6054595e-05
NVDA250207C00240000,240.0,2025-06-20,0.0,8.574454e-05
NVDA250207C00250000,250.0,2025-06-20,0.0,5.7514175e-05
NVDA250221C00021000,21.0,2025-06-20,102.43487224457272,96.70885
NVDA250221C00024000,24.0,2025-06-20,99.44439690248353,93.71583
NVDA250221C00032000,32.0,2025-06-20,91.593014179321,85.734436
NVDA250221C00033000,33.0,2025-06-20,90.47201399091882,84.73676
NVDA250221C00051000,51.0,2025-06-20,72.53311208131954,66.77863
NVDA250221C00054000,54.0,2025-06-20,69.50023300503402,63.78561
NVDA250221C00072000,72.0,2025-06-20,51.606673064507554,45.827477
NVDA250221C00074000,74.0,2025-06-20,49.57955589199699,43.83213
NVDA250221C00154000,154.0,2025-06-20,0.0,0.21709037
NVDA250221C00179000,179.0,2025-06-20,0.0,0.051665187
NVDA250221C00183000,183.0,2025-06-20,0.0,0.040598392
NVDA250221C00184000,184.0,2025-06-20,0.0,0.037647188
NVDA250221C00186000,186.0,2025-06-20,0.0,0.038005233
NVDA250221C00218000,218.0,2025-06-20,0.0,0.010816559
NVDA250221C00219000,219.0,2025-06-20,0.0,0.0110351
NVDA250221C01540000,1540.0,2025-06-20,0.0,99.506775
NVDA250221C01770000,1770.0,2025-06-20,0.0,55.56535
NVDA250221C01780000,1780.0,2025-06-20,0.0,54.027946
NVDA250221C01920000,1920.0,2025-06-20,0.0,38.758186
NVDA250221C02050000,2050.0,2025-06-20,0.0,28.938303
NVDA250321C00010000,10.0,2025-06-20,113.00202494914731,107.72146
NVDA250321C00015000,15.0,2025-06-20,108.05695221124415,102.75218
NVDA250620C00008000,8.0,2025-06-20,113.30652729410176,109.80766
NVDA250620C00010500,10.5,2025-06-20,110.98606472961477,107.353806
NVDA250620C00012000,12.0,2025-06-20,109.72209355604193,108.36721
NVDA250620C00012500,12.5,2025-06-20,109.16874952296122,107.82703
NVDA250620C00018500,18.5,2025-06-20,103.32647791122893,99.50147
NVDA250620C00024500,24.5,2025-06-20,97.45790738569066,93.61221
NVDA250620C00049500,49.5,2025-06-20,72.62153126190536,69.23871
